ALPHABETICAL LISTING OF SYSTEMS IN MAGYAR SECTOR:


System            Subsector & Hex   
---------------------------------------
023-876                N 1139
Abbit                  E 0617
Abrell                 G 1915
Acara                  J 1627
Aclavik                P 2934
Acqua III              N 1440
Adopoulos              I 0225
Adria                  M 0635
Agari                  M 0432
Ahto                   K 2122
Aija                   P 3235
Akludu                 B 0902 
Al-Aziz                F 1120
Al-Medif               B 1309 
Alphard                C 1701
Alto                   G 2411
Amelbar                H 3019
Amon                   D 2507
Amonchomchu            E 0215
Anderson               E 0220
Anerin                 D 2706
Annu-u                 K 1826
Antaeus                J 0921
Argon                  K 2422
Arid                   N 1040
Arrid                  C 1905
Arsdale                E 0613
Asorret                L 2923
Asrow                  D 3006
Austa                  D 2503
Awrenek                I 0330
Baelen                 F 0913
Bageakke               B 1208 
Balajee                O 2236
Barland                J 0930
Barnstone              O 1838
Beagle                 L 3129
Beanland               H 2718
Behave                 N 1531
Beldavs                P 2534
Bentley                M 0137
Berardsly              P 2937
Bergvardt              P 2731
Beta                   L 3128
Bhola                  M 0531
Bilox                  D 2905
Bindas                 A 0707
Bishop                 K 1728
Blackhawk              P 3040
Blackjack              N 1438
Blade                  I 0824
Bobbo                  N 1134
Bois                   N 1537
Boldfulch              G 2314
Boracim                I 0723
Boshkoff               G 2412
Bouzouba               P 2932
Bowmar                 E 0317
Bradley                E 0713
Brand                  H 2914
Brandon                A 0409
Brawley                C 2009
Breck                  J 1023
Brellik                N 1637
Brereton               C 2209
Britten                I 0829
Bupaj                  A 0804
Burris                 K 2130
Burvee                 D 2809
Buschfeld              J 1622
Butchko                I 0524
Butphi                 L 2822
Byrley                 H 2715
Caldwell               J 1222
Calvo                  J 1429
Cammon                 P 3237
Campany                I 0223
Carllan                H 3118
Carn                   A 0310
Carol Sue              E 0319
Cea                    N 0934
Chartpay               D 2903
Chorus                 B 1403 
Chouli                 P 3031
Chuvo                  N 1236
Ciaconn                I 0327
Clan                   A 0205
Clarmeer               L 3029
Clarmoment             G 2415
Cloverreach            G 2316
Clown                  C 1807
Coeus                  O 1831
Coglan                 G 2214
Cordle                 C 2104
Court                  K 2421
Cowan                  F 1218
Crecilius              M 0239
Creighton              K 1730
Crisp                  F 1511
Crius                  K 1926
Cueball                B 1305 
Curson                 H 3113
Daftrew                B 0903 
Dahlpacker             F 1420
Dalton                 M 0536
Damond                 I 0722
Danko                  H 2811
David's Drop           A 0608
Deriabar               A 0805
Derjoulian             P 2837
Desolation             B 1506 
Dewal                  N 0931
Dexter                 G 2416
Diaque                 N 1638
Dillman                A 0605
Dix                    H 2617
Dixon                  G 1912
Doak                   D 2709
Dormant                E 0415
Double                 C 1907
Doucette               H 3220
Douglas                C 2304
Downfall               A 0403
Drang                  M 0233
Drang                  G 2419
Dreesen                G 1916
Drizz                  N 1240
Drocian                M 0835
Dyavai                 O 1935
Ebaun                  O 2339
Ebbing                 K 1924
Ebisu                  O 1936
Einkamp                H 3020
Ekar                   F 1018
Elnor                  K 2223
Elroy                  E 0517
Enbaum                 J 1427
Ensley                 G 2019
Eoyang                 G 2219
Ersgill                L 3227
Esteraj                I 0625
Esuan                  C 2004
Ethlum                 J 1027
Factn                  E 0120
Fairbairn              A 0502
Falkenthal             M 0140
Falstaff               N 1332
Far Light              B 0910 
Farringhaus            O 1840
Fase                   C 1801
Fatagin                K 2229
Fatch                  P 2736
Fatridge               E 0712
Fazio                  F 1320
Feast                  J 0923
Ferstenberg            D 2704
Finn                   F 1416
Firels                 D 3208
Fluri                  M 0740
Fornorb                H 2616
Free                   N 1632
Frostfelter            G 2118
Frykberg               O 2238
Fukasaku               M 0533
Furhma                 F 1114
Furuma                 O 1834
Fyffe                  K 2321
G'anshum               B 1109 
Gadarur                D 2904
Garner's Luck          D 2906
Garniewicz             K 1823
Garvey                 F 1313
Gastineau              O 2136
Geb                    O 2434
Genugten               O 1735
Gerwalk                P 2631
Ghoryana               O 2032
Ghosh                  L 2526
Gilcrest               F 1119
Ginivia                K 2124
Girral                 J 1230
Gjerdingen             L 3123
Glenex                 O 1837
Goodhurst              B 1605 
Greencastle            B 1410 
Greenvald              A 0504
Grimes                 J 1430
Guenivier              D 2505
Gupta                  H 3014
Gursky                 P 2940
Gushwa                 D 2808
Guskin                 C 2303
Gustin                 D 3206
Gyurenek               H 2912
Hachiman               J 1022
Hagymasi               C 2406
Hale                   J 1123
Harnish                I 0528
Harpring               O 1832
Harsanyi               I 0427
Haworth                I 0830
Headley                G 1714
Heath                  F 1412
Heather                J 1524
Heichel                B 1408 
Helm                   K 2029
Hemoth                 L 3230
Hershel                M 0731
Hesselgrave            P 2939
Hessoun                P 3036
Higdon                 G 1818
Hodapp                 E 0716
Holywell               A 0505
Hool                   E 0118
Hrongding              H 2817
Hurshel                E 0815
Hyalin                 D 2602
Iatur                  L 2628
Icenogle               F 1016
Icolka                 A 0708
Indet                  M 0131
Intress                F 1619
Iouo                   I 0624
Issekhee               J 1128
Ithaqua                J 1030
Jafar                  I 0721
Jaro                   K 2128
Jiaxiang               M 0537
Joce                   E 0619
Jofil                  E 0216
Joliff                 M 0534
Jolly                  F 1220
Jondrea                B 1004 
Joppa                  B 1302 
Justice                C 2007
Justin                 A 0703
Kaarna                 K 1830
Kaig                   E 0413
Kano                   E 0814
Karma                  F 1212
Kazilash               E 0715
Kemper                 C 2103
Kench                  D 2510
Keyor                  J 1521
Kleug                  D 2908
Kline                  H 3012
Ko's World             B 1105 
Kolin                  N 1534
Koskiku                K 2030
Kotada                 K 2324
Kriss                  J 1021
Kroovand               M 0737
Krupp                  N 1136
Kugle                  K 2423
Kuxald                 A 0809
Lachlan                E 0720
Laidlaw                L 2528
Lancess                I 0526
Lanchester             K 1825
Landgrebe              F 1415
Langas                 K 1930
Last Pine              G 2312
Lavik                  J 0924
Lazog                  P 2638
Ledbetter              P 2536
Leikung                L 2924
Leriss                 C 2208
Leto                   M 0333
Licini                 O 2332
Lincoln                M 0836
Lisah                  O 2334
